mass_A
t	x	y
0.0	-47.25959367945836	116.74040632054175
0.033	-47.16754347025335	118.77597117409826
0.066	-47.194702969075934	122.54163582873846
0.1	-46.271054997509964	127.05559256696009
0.133	-47.23941962882543	130.21686992813667
0.166	-47.23684235670703	131.6620994422349
0.2	-46.26262398248866	130.58081036094578
0.233	-46.260867745143514	132.82506090717825
0.266	-45.253020498038495	136.85456057119907
0.3	-44.25102513107129	142.31172688505788
0.333	-44.25255539117006	144.89651555477602
0.366	-42.27092387369021	148.37754581436164
0.4	-40.29810908562081	152.60280127852494
0.433	-38.24048210921046	157.95993111393014
0.466	-35.277526168909844	162.74281741156042
0.5	-33.241499389949695	168.83403181854973
0.533	-31.19831574649743	173.41551106914508
0.5660000000000001	-28.244644570043647	178.45637324166134
0.6	-25.23918551619306	185.17458999401114
0.633	-22.258774007327247	191.47780386152536
0.666	-20.266194339524418	195.79935388196455
0.7000000000000001	-10.260068603470472	198.84707425367245
0.733	-9.253101652123519	202.63903957794494
0.766	-7.249219185531274	204.91006725171584
0.8	-14.254505353805598	205.76037559857556
0.8330000000000001	-12.254564622685848	207.5105225476316
0.866	-10.27115437309999	207.53074832439532
0.9	-8.274108706780794	207.69122599267288
0.933	-7.239150749305054	208.45903210134813
0.9660000000000001	-4.266679240955682	209.4912084595792
1.0	-2.2611772107330808	207.7663366451657
1.0330000000000001	-5.2597647951325825	202.76034129658555
1.066	-2.2650782273408367	189.71684661050742
1.1	-1.2541281543092282	161.74162937512054
1.133	-3.263024211190782	153.71584683200288
1.1660000000000001	-3.2682239689906964	130.73561790183354
1.2	-0.2677395191259393	73.73888610163024
1.233	4.871340341796213	15.737244780570364
1.266	8.812426490574012	-24.253637673514504
1.3	15.832202346101212	-81.25628164573573
1.333	13.79484168141039	-106.25664617778057
1.366	16.77970492506904	-154.25040002644698
1.4000000000000001	22.797384928519023	-208.2594292835106
1.433	29.755125050823608	-288.25873215443767
1.466	44.74661951062649	-408.2776507631421
1.5	10.727533889555389	-325.2822982884817
1.5330000000000001	11.733912814048153	-397.1058808956434
1.566	-28.272862125625124	-437.19730227075877
1.6	35.777491878110595	-514.295210017183
1.633	39.77902675040923	-590.2474447912497
1.6660000000000001	43.79665031722675	-667.3162098604677
1.7000000000000002	47.77813606363611	-747.3086818970843
1.733	53.840003202625894	-833.3303613127077
1.766	35.774296007718476	NaN
1.8	65.12415349887124	-912.8397291196388
1.8330000000000002	80.0984274887702	-895.8372038671137
1.866	86.12581352543168	-892.8440451886959
1.9000000000000001	105.15439789805657	-904.8516435799243
1.933	103.16179901145108	-904.8446108319936
1.9660000000000002	107.13719505501626	NaN
2.0	152.13092550790054	-764.2031602708804
2.033	152.15925362746952	-770.2018568297959
2.0660000000000003	156.12986468753274	-804.2319202897393
2.1	161.1276446680056	-820.2073597459462
2.133	160.1545153866565	-818.2017106135268
2.166	166.16177956702768	-818.205623902978
2.2	172.07514620866573	-813.2074897110738
2.233	178.12300263657562	-817.2041148336907
2.266	177.09259731067402	-837.1829368502331
2.3000000000000003	184.02774955681366	-842.1914415208803
2.333	183.9752074808382	-842.1521999915262
2.366	185.13918900883164	-869.174878147975
2.4	189.1493051027992	-884.2166636467241
2.4330000000000003	191.1342732826149	-917.2089696446496
2.466	195.1692191586942	-943.2019697946898
2.5	197.12548086180254	-972.199782573764
2.533	208.16378844416136	-964.2171902561336
2.5660000000000003	198.1333715189494	-967.1987053686275
